Date,Queue,New,Resolved
2023-12-15,-264,0,0
2023-12-16,-264,0,0
2023-12-17,-265,0,0
2023-12-18,-266,0,0
2023-12-19,-267,0,0
2023-12-20,-270,0,0
2023-12-21,-270,0,0
2023-12-22,-270,0,0
2023-12-23,-271,0,0
2023-12-24,-272,0,0
2023-12-25,-273,0,0
2023-12-26,-274,0,0
2023-12-27,-274,0,0
2023-12-28,-276,0,0
2023-12-29,-278,0,0
2023-12-30,-278,0,0
